key,press_time,release_time,dwell_time,flight_time,press_press,release_release
Shift,469.200,773.700,304.500,88.000,0,0
a,861.700,998.500,136.800,-6.500,392.500,224.800
j,992.000,1119.300,127.300,53.300,130.300,120.800
2,1172.600,1390.400,217.800,-65.700,180.600,271.100
4,1324.700,1461.300,136.600,46.500,152.100,70.900
0,1507.800,1633.500,125.700,17.000,183.100,172.200
3,1650.500,1771.000,120.500,67.100,142.700,137.500
2,1838.100,1953.300,115.200,-11.600,187.600,182.300
0,1941.700,2035.300,93.600,69.300,103.600,82.000
0,2104.600,2218.400,113.800,-5.100,162.900,183.100
3,2213.300,2324.000,110.700,378.400,108.700,105.600
.,2702.400,2812.600,110.200,0,489.100,488.600
