key,press_time,release_time,dwell_time,flight_time,press_press,release_release
Shift,712.400,1084.400,372.000,83.700,0,0
a,1168.100,1337.900,169.800,140.100,455.700,253.500
j,1478.000,1609.800,131.800,473.300,309.900,271.900
2,2083.100,2267.200,184.100,4.100,605.100,657.400
4,2271.300,2425.200,153.900,75.000,188.200,158.000
0,2500.200,2644.200,144.000,3.300,228.900,219.000
3,2647.500,2763.600,116.100,73.700,147.300,119.400
2,2837.300,2963.600,126.300,17.100,189.800,200.000
0,2980.700,3074.800,94.100,37.300,143.400,111.200
0,3112.100,3239.400,127.300,-24.400,131.400,164.600
3,3215.000,3331.800,116.800,324.400,102.900,92.400
.,3656.200,3771.800,115.600,0,441.200,440.000
