key,press_time,release_time,dwell_time,flight_time,press_press,release_release
Shift,517.000,888.500,371.500,109.100,0,0
a,997.600,1129.000,131.400,20.000,480.600,240.500
j,1149.000,1242.800,93.800,144.100,151.400,113.800
2,1386.900,1589.600,202.700,-12.600,237.900,346.800
4,1577.000,1703.200,126.200,90.700,190.100,113.600
0,1793.900,1925.400,131.500,27.700,216.900,222.200
3,1953.100,2078.400,125.300,81.700,159.200,153.000
2,2160.100,2269.600,109.500,-27.800,207.000,191.200
0,2241.800,2335.100,93.300,68.500,81.700,65.500
0,2403.600,2512.500,108.900,-10.300,161.800,177.400
3,2502.200,2605.000,102.800,616.900,98.600,92.500
.,3221.900,3327.400,105.500,0,719.700,722.400
