key,press_time,release_time,dwell_time,flight_time,press_press,release_release
Shift,678.100,1202.700,524.600,121.200,0,0
a,1323.900,1471.000,147.100,-17.800,645.800,268.300
j,1453.200,1588.800,135.600,426.800,129.300,117.800
2,2015.600,2254.200,238.600,-33.200,562.400,665.400
4,2221.000,2382.000,161.000,74.200,205.400,127.800
0,2456.200,2602.800,146.600,31.100,235.200,220.800
3,2633.900,2757.800,123.900,80.500,177.700,155.000
2,2838.300,2968.600,130.300,-17.200,204.400,210.800
0,2951.400,3054.500,103.100,39.700,113.100,85.900
0,3094.200,3212.800,118.600,-8.800,142.800,158.300
3,3204.000,3311.800,107.800,440.000,109.800,99.000
.,3751.800,3874.800,123.000,0,547.800,563.000
