key,press_time,release_time,dwell_time,flight_time,press_press,release_release
Shift,449.800,846.200,396.400,102.500,0,0
a,948.700,1117.800,169.100,-11.800,498.900,271.600
j,1106.000,1230.400,124.400,51.700,157.300,112.600
2,1282.100,1511.400,229.300,-39.700,176.100,281.000
4,1471.700,1592.500,120.800,113.300,189.600,81.100
0,1705.800,1847.500,141.700,53.400,234.100,255.000
3,1900.900,2026.300,125.400,65.500,195.100,178.800
2,2091.800,2215.200,123.400,-5.200,190.900,188.900
0,2210.000,2292.600,82.600,62.800,118.200,77.400
0,2355.400,2468.700,113.300,-12.000,145.400,176.100
3,2456.700,2566.800,110.100,401.500,101.300,98.100
.,2968.300,3060.500,92.200,0,511.600,493.700
