key,press_time,release_time,dwell_time,flight_time,press_press,release_release
Shift,342.200,717.800,375.600,121.800,0,0
a,839.600,981.500,141.900,-21.800,497.400,263.700
j,959.700,1075.200,115.500,86.000,120.100,93.700
2,1161.200,1388.500,227.300,-75.400,201.500,313.300
4,1313.100,1460.200,147.100,62.200,151.900,71.700
0,1522.400,1666.600,144.200,9.000,209.300,206.400
3,1675.600,1792.800,117.200,66.400,153.200,126.200
2,1859.200,1981.300,122.100,8.900,183.600,188.500
0,1990.200,2095.200,105.000,43.400,131.000,113.900
0,2138.600,2259.200,120.600,-45.200,148.400,164.000
3,2214.000,2331.900,117.900,342.000,75.400,72.700
.,2673.900,2785.900,112.000,0,459.900,454.000
