key,press_time,release_time,dwell_time,flight_time,press_press,release_release
Shift,276.400,658.000,381.600,102.300,0,0
a,760.300,908.200,147.900,-32.100,483.900,250.200
j,876.100,995.400,119.300,84.700,115.800,87.200
2,1080.100,1271.400,191.300,-38.500,204.000,276.000
4,1232.900,1392.800,159.900,39.700,152.800,121.400
0,1432.500,1551.100,118.600,27.000,199.600,158.300
3,1578.100,1709.500,131.400,66.400,145.600,158.400
2,1775.900,1891.800,115.900,23.400,197.800,182.300
0,1915.200,2013.800,98.600,57.900,139.300,122.000
0,2071.700,2192.100,120.400,-54.600,156.500,178.300
3,2137.500,2259.100,121.600,731.800,65.800,67.000
.,2990.900,3162.100,171.200,0,853.400,903.000
