key,press_time,release_time,dwell_time,flight_time,press_press,release_release
Shift,403.900,726.600,322.700,104.300,0,0
a,830.900,970.800,139.900,8.100,427.000,244.200
j,978.900,1094.000,115.100,53.500,148.000,123.200
2,1147.500,1355.700,208.200,-61.200,168.600,261.700
4,1294.500,1433.400,138.900,42.900,147.000,77.700
0,1476.300,1607.700,131.400,18.400,181.800,174.300
3,1626.100,1745.000,118.900,56.900,149.800,137.300
2,1801.900,1929.500,127.600,-12.600,175.800,184.500
0,1916.900,1995.400,78.500,69.000,115.000,65.900
0,2064.400,2175.200,110.800,-7.300,147.500,179.800
3,2167.900,2273.400,105.500,392.500,103.500,98.200
.,2665.900,2764.300,98.400,0,498.000,490.900
