key,press_time,release_time,dwell_time,flight_time,press_press,release_release
Shift,287.700,727.100,439.400,81.400,0,0
a,808.500,988.600,180.100,-39.100,520.800,261.500
j,949.500,1068.400,118.900,103.300,141.000,79.800
2,1171.700,1416.100,244.400,-66.200,222.200,347.700
4,1349.900,1498.000,148.100,37.200,178.200,81.900
0,1535.200,1681.700,146.500,37.700,185.300,183.700
3,1719.400,1844.500,125.100,82.600,184.200,162.800
2,1927.100,2035.400,108.300,-17.000,207.700,190.900
0,2018.400,2117.800,99.400,58.200,91.300,82.400
0,2176.000,2291.100,115.100,-33.000,157.600,173.300
3,2258.100,2366.000,107.900,397.400,82.100,74.900
.,2763.400,2884.700,121.300,0,505.300,518.700
