key,press_time,release_time,dwell_time,flight_time,press_press,release_release
Shift,396.200,767.600,371.400,77.500,0,0
a,845.100,999.700,154.600,10.800,448.900,232.100
j,1010.500,1125.100,114.600,53.800,165.400,125.400
2,1178.900,1407.900,229.000,-70.800,168.400,282.800
4,1337.100,1468.900,131.800,60.500,158.200,61.000
0,1529.400,1655.000,125.600,23.500,192.300,186.100
3,1678.500,1810.000,131.500,65.900,149.100,155.000
2,1875.900,1998.600,122.700,29.200,197.400,188.600
0,2027.800,2141.000,113.200,66.400,151.900,142.400
0,2207.400,2338.200,130.800,-12.300,179.600,197.200
3,2325.900,2447.100,121.200,77.600,118.500,108.900
.,2524.700,2695.500,170.800,0,198.800,248.400
