key,press_time,release_time,dwell_time,flight_time,press_press,release_release
R,832.300,946.000,113.700,-352.100,0,0
Shift,593.900,956.000,362.100,95.900,-238.400,10.000
a,1051.900,1187.500,135.600,-38.200,458.000,231.500
j,1149.300,1293.400,144.100,74.000,97.400,105.900
2,1367.400,1593.200,225.800,-33.700,218.100,299.800
4,1559.500,1691.700,132.200,67.000,192.100,98.500
0,1758.700,1888.800,130.100,30.600,199.200,197.100
3,1919.400,2045.600,126.200,78.300,160.700,156.800
2,2123.900,2233.600,109.700,15.300,204.500,188.000
0,2248.900,2336.900,88.000,62.500,125.000,103.300
0,2399.400,2512.800,113.400,15.900,150.500,175.900
3,2528.700,2648.200,119.500,313.300,129.300,135.400
.,2961.500,3092.200,130.700,0,432.800,444.000
