key,press_time,release_time,dwell_time,flight_time,press_press,release_release
Shift,491.000,837.900,346.900,118.800,0,0
a,956.700,1093.300,136.600,34.000,465.700,255.400
j,1127.300,1236.100,108.800,86.400,170.600,142.800
2,1322.500,1515.700,193.200,-7.800,195.200,279.600
4,1507.900,1642.900,135.000,120.800,185.400,127.200
0,1763.700,1894.700,131.000,57.900,255.800,251.800
3,1952.600,2072.200,119.600,78.200,188.900,177.500
2,2150.400,2268.900,118.500,-16.400,197.800,196.700
0,2252.500,2351.500,99.000,60.100,102.100,82.600
0,2411.600,2526.600,115.000,-12.400,159.100,175.100
3,2514.200,2617.500,103.300,404.200,102.600,90.900
.,3021.700,3120.300,98.600,0,507.500,502.800
