key,press_time,release_time,dwell_time,flight_time,press_press,release_release
Shift,359.100,736.600,377.500,100.800,0,0
a,837.400,979.500,142.100,-10.100,478.300,242.900
j,969.400,1083.200,113.800,65.500,132.000,103.700
2,1148.700,1330.100,181.400,-27.300,179.300,246.900
4,1302.800,1427.500,124.700,59.900,154.100,97.400
0,1487.400,1614.000,126.600,16.700,184.600,186.500
3,1630.700,1755.900,125.200,67.800,143.300,141.900
2,1823.700,1950.500,126.800,3.500,193.000,194.600
0,1954.000,2037.000,83.000,72.800,130.300,86.500
0,2109.800,2241.500,131.700,-22.600,155.800,204.500
3,2218.900,2317.700,98.800,577.300,109.100,76.200
.,2895.000,3020.300,125.300,0,676.100,702.600
