key,press_time,release_time,dwell_time,flight_time,press_press,release_release
Shift,870.300,1179.100,308.800,100.900,0,0
a,1280.000,1436.800,156.800,-37.400,409.700,257.700
j,1399.400,1529.800,130.400,797.200,119.400,93.000
2,2327.000,2560.900,233.900,-56.400,927.600,1031.100
4,2504.500,2636.000,131.500,77.500,177.500,75.100
0,2713.500,2861.400,147.900,32.100,209.000,225.400
3,2893.500,3017.600,124.100,64.900,180.000,156.200
2,3082.500,3201.400,118.900,-10.200,189.000,183.800
0,3191.200,3276.400,85.200,59.800,108.700,75.000
0,3336.200,3452.300,116.100,-27.600,145.000,175.900
3,3424.700,3537.500,112.800,343.700,88.500,85.200
.,3881.200,4011.400,130.200,0,456.500,473.900
