key,press_time,release_time,dwell_time,flight_time,press_press,release_release
Shift,480.800,816.700,335.900,128.300,0,0
a,945.000,1092.500,147.500,-22.500,464.200,275.800
j,1070.000,1190.200,120.200,81.000,125.000,97.700
2,1271.200,1504.900,233.700,-71.100,201.200,314.700
4,1433.800,1564.900,131.100,92.800,162.600,60.000
0,1657.700,1788.000,130.300,35.400,223.900,223.100
3,1823.400,1948.300,124.900,71.800,165.700,160.300
2,2020.100,2136.200,116.100,-13.600,196.700,187.900
0,2122.600,2215.700,93.100,60.100,102.500,79.500
0,2275.800,2392.600,116.800,-9.400,153.200,176.900
3,2383.200,2486.900,103.700,392.400,107.400,94.300
.,2879.300,2989.400,110.100,0,496.100,502.500
