key,press_time,release_time,dwell_time,flight_time,press_press,release_release
Shift,424.500,779.800,355.300,102.900,0,0
a,882.700,1025.600,142.900,18.600,458.200,245.800
j,1044.200,1164.700,120.500,71.900,161.500,139.100
2,1236.600,1422.300,185.700,-11.000,192.400,257.600
4,1411.300,1559.600,148.300,90.600,174.700,137.300
0,1650.200,1792.700,142.500,17.100,238.900,233.100
3,1809.800,1930.800,121.000,70.400,159.600,138.100
2,2001.200,2124.700,123.500,14.900,191.400,193.900
0,2139.600,2234.300,94.700,55.300,138.400,109.600
0,2289.600,2409.900,120.300,-16.900,150.000,175.600
3,2393.000,2496.900,103.900,320.900,103.400,87.000
.,2817.800,2928.300,110.500,0,424.800,431.400
