key,press_time,release_time,dwell_time,flight_time,press_press,release_release
Shift,361.500,732.100,370.600,96.600,0,0
a,828.700,975.000,146.300,-12.000,467.200,242.900
j,963.000,1078.600,115.600,94.200,134.300,103.600
2,1172.800,1356.800,184.000,-4.800,209.800,278.200
4,1352.000,1489.700,137.700,67.700,179.200,132.900
0,1557.400,1682.700,125.300,27.300,205.400,193.000
3,1710.000,1822.900,112.900,80.500,152.600,140.200
2,1903.400,2022.100,118.700,-10.200,193.400,199.200
0,2011.900,2110.300,98.400,65.900,108.500,88.200
0,2176.200,2302.300,126.100,-27.400,164.300,192.000
3,2274.900,2390.000,115.100,293.600,98.700,87.700
.,2683.600,2815.600,132.000,0,408.700,425.600
