key,press_time,release_time,dwell_time,flight_time,press_press,release_release
Shift,363.300,800.600,437.300,107.000,0,0
a,907.600,1073.200,165.600,-2.300,544.300,272.600
j,1070.900,1223.800,152.900,25.600,163.300,150.600
2,1249.400,1472.500,223.100,-77.300,178.500,248.700
4,1395.200,1544.200,149.000,84.100,145.800,71.700
0,1628.300,1760.300,132.000,28.800,233.100,216.100
3,1789.100,1920.900,131.800,52.900,160.800,160.600
2,1973.800,2100.400,126.600,-33.900,184.700,179.500
0,2066.500,2161.000,94.500,60.100,92.700,60.600
0,2221.100,2342.600,121.500,14.500,154.600,181.600
3,2357.100,2467.900,110.800,415.400,136.000,125.300
.,2883.300,3003.600,120.300,0,526.200,535.700
