key,press_time,release_time,dwell_time,flight_time,press_press,release_release
Shift,1066.500,1491.700,425.200,80.600,0,0
a,1572.300,1731.800,159.500,-33.800,505.800,240.100
j,1698.000,1835.900,137.900,88.600,125.700,104.100
2,1924.500,2176.700,252.200,-67.000,226.500,340.800
4,2109.700,2247.200,137.500,91.200,185.200,70.500
0,2338.400,2472.900,134.500,17.000,228.700,225.700
3,2489.900,2615.400,125.500,82.500,151.500,142.500
2,2697.900,2802.200,104.300,-15.400,208.000,186.800
0,2786.800,2872.900,86.100,59.900,88.900,70.700
0,2932.800,3048.800,116.000,-29.100,146.000,175.900
3,3019.700,3124.600,104.900,521.800,86.900,75.800
.,3646.400,3772.800,126.400,0,626.700,648.200
